date,code,name,market,total_shares,foreign_shares,foreign_ratio
2025-09-11,3490,單井,TPEX,55006435,1210720,0.0
2025-09-11,3491,昇達科,TPEX,66553151,13355074,0.0
2025-09-11,3492,長盛,TPEX,35531600,223000,0.0
2025-09-11,3498,陽程,TPEX,61273008,2444502,0.0
2025-09-11,3499,環天科,TPEX,54970596,116937,0.0
2025-09-11,3508,位速,TPEX,104311737,750022,0.0
2025-09-11,3511,矽瑪,TPEX,79972945,1613191,0.0
2025-09-11,3512,皇龍,TPEX,113072372,378852,0.0
2025-09-11,3516,亞帝歐,TPEX,59560874,314285,0.0
2025-09-11,3520,華盈,TPEX,68846778,1374147,0.0
2025-09-11,3521,鴻翊,TPEX,128265552,213015,0.0
2025-09-11,3522,御嵿,TPEX,83971209,134191,0.0
2025-09-11,3523,迎輝,TPEX,64257868,34001,0.0
2025-09-11,3526,凡甲,TPEX,65134161,8384970,0.0
2025-09-11,3527,聚積,TPEX,44445125,2260150,0.0
2025-09-11,3529,力旺,TPEX,74673742,39868652,0.0
2025-09-11,3531,先益,TPEX,61175011,11796414,0.0
2025-09-11,3537,堡達,TPEX,56242979,939262,0.0
2025-09-11,3540,曜越,TPEX,72458548,2332529,0.0
2025-09-11,3541,西柏,TPEX,56349142,536847,0.0
2025-09-11,3546,宇峻,TPEX,58427323,4199030,0.0
2025-09-11,3548,兆利,TPEX,67744175,2198428,0.0
2025-09-11,3551,世禾,TPEX,62274890,2914494,0.0
2025-09-11,3552,同致,TPEX,97918334,10763906,0.0
2025-09-11,3555,博士旺,TPEX,29998797,1141619,0.0
2025-09-11,3556,禾瑞亞,TPEX,63702844,2763430,0.0
2025-09-11,3558,神準,TPEX,59060881,2224168,0.0
2025-09-11,3564,其陽,TPEX,59123100,1233672,0.0
2025-09-11,3567,逸昌,TPEX,33954000,1012281,0.0
2025-09-11,3570,大塚,TPEX,17097000,7721450,0.0
2025-09-11,3577,泓格,TPEX,63965653,2911296,0.0
2025-09-11,3580,友威科,TPEX,39470657,2033308,0.0
2025-09-11,3581,博磊,TPEX,51006000,5142447,0.0
2025-09-11,3587,閎康,TPEX,67038234,6306680,0.0
2025-09-11,3594,磐儀,TPEX,95948358,2324812,0.0
2025-09-11,3597,映興,TPEX,39236440,504176,0.0
2025-09-11,3609,三一東林,TPEX,38419387,800001,0.0
2025-09-11,3611,鼎翰,TPEX,47490134,5925565,0.0
2025-09-11,3615,安可,TPEX,68466976,2241568,0.0
2025-09-11,3623,富晶通,TPEX,29185946,379067,0.0
2025-09-11,3624,光頡,TPEX,117340842,49307711,0.0
2025-09-11,3625,西勝,TPEX,114246765,9464055,0.0
2025-09-11,3628,盈正,TPEX,45000000,2242869,0.0
2025-09-11,3629,地心引力,TPEX,32954782,9000,0.0
2025-09-11,3630,新鉅科,TPEX,204191848,84428728,0.0
2025-09-11,3631,晟楠,TPEX,81820909,6497301,0.0
2025-09-11,3632,研勤,TPEX,40889738,105986,0.0
2025-09-11,3646,艾恩特,TPEX,39297371,2835082,0.0
2025-09-11,3663,鑫科,TPEX,108494074,1521661,0.0
2025-09-11,3664,安瑞-KY,TPEX,59525482,21674415,0.0
2025-09-11,3666,光耀,TPEX,92924850,309969,0.0
2025-09-11,3672,康聯訊,TPEX,40790375,1015017,0.0
2025-09-11,3675,德微,TPEX,53057923,28684766,0.0
2025-09-11,3680,家登,TPEX,96039516,13827803,0.0
2025-09-11,3684,榮昌,TPEX,30001674,66349,0.0
2025-09-11,3685,元創精密,TPEX,79574000,963307,0.0
2025-09-11,3687,歐買尬,TPEX,30059572,1934011,0.0
2025-09-11,3689,湧德,TPEX,85225676,3827198,0.0
2025-09-11,3691,碩禾,TPEX,91883420,2750052,0.0
2025-09-11,3693,營邦,TPEX,42990694,3965181,0.0
2025-09-11,3707,漢磊,TPEX,383222653,30866199,0.0
2025-09-11,3709,鑫聯大投控,TPEX,125569450,7327057,0.0
2025-09-11,3710,連展投控,TPEX,287250734,9428165,0.0
2025-09-11,3713,新晶投控,TPEX,88090000,270032,0.0
2025-09-11,4102,永日,TPEX,42373443,434197,0.0
2025-09-11,4105,東洋,TPEX,248649959,55789113,0.0
2025-09-11,4107,邦特,TPEX,69298336,5675457,0.0
2025-09-11,4109,加捷生醫,TPEX,118736681,1441070,0.0
2025-09-11,4111,濟生,TPEX,59832135,1947346,0.0
2025-09-11,4113,聯上,TPEX,231138137,2373296,0.0
2025-09-11,4114,健喬,TPEX,510175636,37714074,0.0
2025-09-11,4116,明基醫,TPEX,44566000,292049,0.0
2025-09-11,4120,友華,TPEX,86747119,5654063,0.0
2025-09-11,4121,優盛,TPEX,85491045,892279,0.0
2025-09-11,4123,晟德,TPEX,761225674,73506737,0.0
2025-09-11,4126,太醫,TPEX,72600000,7864463,0.0
2025-09-11,4127,天良,TPEX,45760000,400123,0.0
2025-09-11,4128,中天,TPEX,588170597,41695744,0.0
2025-09-11,4129,聯合,TPEX,96436704,14868622,0.0
2025-09-11,4130,健亞,TPEX,114887530,1968254,0.0
2025-09-11,4131,浩泰,TPEX,39500000,15000,0.0
2025-09-11,4138,曜亞,TPEX,39930000,185935,0.0
2025-09-11,4139,馬光-KY,TPEX,42549911,8482329,0.0
2025-09-11,4147,中裕,TPEX,273119225,25349982,0.0
2025-09-11,4153,鈺緯,TPEX,58668197,160972,0.0
2025-09-11,4154,樂威科-KY,TPEX,32327620,7054595,0.0
2025-09-11,4157,太景*-KY,TPEX,717841475,10856356,0.0
2025-09-11,4160,訊聯基因,TPEX,26690334,146812,0.0
2025-09-11,4161,聿新科,TPEX,59808204,913378,0.0
2025-09-11,4162,智擎,TPEX,145677640,8684672,0.0
2025-09-11,4163,鐿鈦,TPEX,49703893,1386886,0.0
2025-09-11,4166,友霖,TPEX,243035089,25544141,0.0
2025-09-11,4167,松瑞藥,TPEX,310444107,32641356,0.0
2025-09-11,4168,醣聯,TPEX,108208133,5204923,0.0
2025-09-11,4171,瑞基,TPEX,58457469,7763676,0.0
2025-09-11,4173,久裕,TPEX,74574355,2835569,0.0
2025-09-11,4174,浩鼎,TPEX,263159374,21467072,0.0
2025-09-11,4175,杏一,TPEX,42323307,56116,0.0
2025-09-11,4183,福永生技,TPEX,23800000,2000,0.0
2025-09-11,4188,安克,TPEX,63332900,42314,0.0
2025-09-11,4192,杏國,TPEX,35164500,107104,0.0
2025-09-11,4198,欣大健康,TPEX,24108000,286940,0.0
2025-09-11,4205,中華食,TPEX,97649228,500203,0.0
2025-09-11,4207,環泰,TPEX,198538008,3417227,0.0
2025-09-11,4303,信立,TPEX,94605317,2913610,0.0
2025-09-11,4304,勝昱,TPEX,36038065,1389,0.0
2025-09-11,4305,世坤,TPEX,55014000,35365,0.0
2025-09-11,4401,東隆興,TPEX,122692012,1800772,0.0
